service_id,service_name,paper_name,material_name,shape_name,size_name,laminate_name,quantity,price
32,Tờ gấp,,,,A4,,1,1
32,Tờ gấp,,,,A3,,1,1
32,Tờ gấp,,,,A2,,1,1
32,Tờ gấp,,,,A1,,1,1
32,Tờ gấp,,,,A0,,1,1
32,Tờ gấp,,,,Khác,,1,1
33,Vé,Ford 80,,,,,1,1
33,Vé,Ford 180,,,,,1,1
33,Vé,Ford 250,,,,,1,1
33,Vé,Ford 300,,,,,1,1
33,Vé,Couche 150,,,,,1,1
33,Vé,Couche 200,,,,,1,1
33,Vé,Couche 250,,,,,1,1
33,Vé,Couche 300,,,,,1,1
33,Vé,Canson 250,,,,,1,1
33,Vé,Gân trắng 250,,,,,1,1
33,Vé,Gân vàng 280,,,,,1,1
33,Vé,Ivory 300,,,,,1,1
33,Vé,Giấy ảnh 250,,,,,1,1
33,Vé,Khác,,,,,1,1
33,Vé,,,,A5,,1,1
33,Vé,,,,A4,,1,1
33,Vé,,,,A3,,1,1
33,Vé,,,,A2,,1,1
33,Vé,,,,A1,,1,1
33,Vé,,,,A0,,1,1
33,Vé,,,,Khác,,1,1
34,Catalogue,Ford 80,,,,,1,1
34,Catalogue,Ford 180,,,,,1,1
34,Catalogue,Ford 250,,,,,1,1
34,Catalogue,Ford 300,,,,,1,1
34,Catalogue,Couche 150,,,,,1,1
34,Catalogue,Couche 200,,,,,1,1
34,Catalogue,Couche 250,,,,,1,1
34,Catalogue,Couche 300,,,,,1,1
34,Catalogue,Canson 250,,,,,1,1
34,Catalogue,Gân trắng 250,,,,,1,1
34,Catalogue,Gân vàng 280,,,,,1,1
34,Catalogue,Ivory 300,,,,,1,1
34,Catalogue,Giấy ảnh 250,,,,,1,1
34,Catalogue,Khác,,,,,1,1
34,Catalogue,,,,A5,,1,1
34,Catalogue,,,,A4,,1,1
34,Catalogue,,,,A3,,1,1
34,Catalogue,,,,A2,,1,1
34,Catalogue,,,,A1,,1,1
34,Catalogue,,,,A0,,1,1
34,Catalogue,,,,Khác,,1,1
35,Hasgtag cầm tay,,PP ngoài trời,,,,1,1
35,Hasgtag cầm tay,,PP trong nhà,,,,1,1
35,Hasgtag cầm tay,,Hiflex,,,,1,1
35,Hasgtag cầm tay,,Decal trong,,,,1,1
35,Hasgtag cầm tay,,Decal giấy,,,,1,1
35,Hasgtag cầm tay,,Decal nhựa,,,,1,1
35,Hasgtag cầm tay,,Khác,,,,1,1
36,Tranh Canvas,,PP ngoài trời,,,,1,1
36,Tranh Canvas,,PP trong nhà,,,,1,1
36,Tranh Canvas,,Hiflex,,,,1,1
36,Tranh Canvas,,Decal trong,,,,1,1
36,Tranh Canvas,,Decal giấy,,,,1,1
36,Tranh Canvas,,Decal nhựa,,,,1,1
36,Tranh Canvas,,Khác,,,,1,1
37,PP bồi Fomex,,PP ngoài trời,,,,1,1
37,PP bồi Fomex,,PP trong nhà,,,,1,1
37,PP bồi Fomex,,Hiflex,,,,1,1
37,PP bồi Fomex,,Decal trong,,,,1,1
37,PP bồi Fomex,,Decal giấy,,,,1,1
37,PP bồi Fomex,,Decal nhựa,,,,1,1
37,PP bồi Fomex,,Khác,,,,1,1
38,Băn rôn,,PP ngoài trời,,,,1,1
38,Băn rôn,,PP trong nhà,,,,1,1
38,Băn rôn,,Hiflex,,,,1,1
38,Băn rôn,,Decal trong,,,,1,1
38,Băn rôn,,Decal giấy,,,,1,1
38,Băn rôn,,Decal nhựa,,,,1,1
38,Băn rôn,,Khác,,,,1,1
